Brand,Name,Code,Hex Value,RGB Values,Color URL,LRV,Category
Benjamin Moore,Polished Slate,713,#4E6C6B,"78, 108, 107",https://www.benjaminmoore.com/en-us/paint-colors/color/713,14.91,Blue
Benjamin Moore,Olympus Green,679,#3D585B,"61, 88, 91",https://www.benjaminmoore.com/en-us/paint-colors/color/679,9.49,Blue
Benjamin Moore,Iced Green,673,#C6DEDA,"198, 222, 218",https://www.benjaminmoore.com/en-us/paint-colors/color/673,68.04,Blue
Benjamin Moore,Spring Sky,674,#B7D6D3,"183, 214, 211",https://www.benjaminmoore.com/en-us/paint-colors/color/674,62.92,Blue
Benjamin Moore,Thunderbird,675,#A6CBC9,"166, 203, 201",https://www.benjaminmoore.com/en-us/paint-colors/color/675,55,Blue
Benjamin Moore,Spirit in the Sky,676,#8FBCBA,"143, 188, 186",https://www.benjaminmoore.com/en-us/paint-colors/color/676,46.04,Blue
Benjamin Moore,Florida Keys Blue,2050-40,#6DA9A7,"109, 169, 167",https://www.benjaminmoore.com/en-us/paint-colors/color/2050-40,35.4,Blue
Benjamin Moore,Intercoastal Green,672,#2E7572,"46, 117, 114",https://www.benjaminmoore.com/en-us/paint-colors/color/672,16.36,Blue
Benjamin Moore,Deep Sea Green,735,#255456,"37, 84, 86",https://www.benjaminmoore.com/en-us/paint-colors/color/735,8.9,Blue
Benjamin Moore,Spring Mint,2040-70,#D9EDE7,"217, 237, 231",https://www.benjaminmoore.com/en-us/paint-colors/color/2040-70,80.1,Blue
Benjamin Moore,Arctic Blue,2050-60,#C4E3E1,"196, 227, 225",https://www.benjaminmoore.com/en-us/paint-colors/color/2050-60,70.86,Blue
Benjamin Moore,Waterfall,2050-50,#9DCDCB,"157, 205, 203",https://www.benjaminmoore.com/en-us/paint-colors/color/2050-50,55,Blue
Benjamin Moore,Majestic Blue,2051-40,#629FA0,"98, 159, 160",https://www.benjaminmoore.com/en-us/paint-colors/color/2051-40,31.24,Blue
Benjamin Moore,Casco Bay,2051-30,#306E6D,"48, 110, 109",https://www.benjaminmoore.com/en-us/paint-colors/color/2051-30,15.13,Blue
Benjamin Moore,Mallard Green,2053-10,#294E4F,"41, 78, 79",https://www.benjaminmoore.com/en-us/paint-colors/color/2053-10,7.74,Blue
Benjamin Moore,Pacific Sea Teal,2049-10,#274043,"39, 64, 67",https://www.benjaminmoore.com/en-us/paint-colors/color/2049-10,5.93,Blue
Benjamin Moore,Barely Teal,2048-70,#D3F1EE,"211, 241, 238",https://www.benjaminmoore.com/en-us/paint-colors/color/2048-70,81.12,Blue
Benjamin Moore,Maritime Blue,667,#B2DDD6,"178, 221, 214",https://www.benjaminmoore.com/en-us/paint-colors/color/667,65.46,Blue
Benjamin Moore,Lake Victoria,668,#9CD1CD,"156, 209, 205",https://www.benjaminmoore.com/en-us/paint-colors/color/668,57.13,Blue
Benjamin Moore,Oceanic Teal,669,#87C5C2,"135, 197, 194",https://www.benjaminmoore.com/en-us/paint-colors/color/669,49.56,Blue
Benjamin Moore,Gulf Stream,670,#68B1AD,"104, 177, 173",https://www.benjaminmoore.com/en-us/paint-colors/color/670,38.73,Blue
Benjamin Moore,Soft Spruce,671,#3F9793,"63, 151, 147",https://www.benjaminmoore.com/en-us/paint-colors/color/671,26.91,Blue
Benjamin Moore,Oasis Blue,2049-20,#225A5D,"34, 90, 93",https://www.benjaminmoore.com/en-us/paint-colors/color/2049-20,9.37,Blue
Benjamin Moore,Oceanfront,660,#ADE1DA,"173, 225, 218",https://www.benjaminmoore.com/en-us/paint-colors/color/660,67.36,Blue
Benjamin Moore,Caribbean Cool,661,#87D5D1,"135, 213, 209",https://www.benjaminmoore.com/en-us/paint-colors/color/661,57.43,Blue
Benjamin Moore,Tropicana Cabana,2048-50,#7ED5D4,"126, 213, 212",https://www.benjaminmoore.com/en-us/paint-colors/color/2048-50,56.94,Blue
Benjamin Moore,Teal Tone,663,#43BBB6,"67, 187, 182",https://www.benjaminmoore.com/en-us/paint-colors/color/663,41.8,Blue
Benjamin Moore,Gulf Shores,665,#008C87,"0, 140, 135",https://www.benjaminmoore.com/en-us/paint-colors/color/665,22.15,Blue
Benjamin Moore,Tropical Turquoise,2052-30,#00706C,"0, 112, 108",https://www.benjaminmoore.com/en-us/paint-colors/color/2052-30,14.58,Blue
Benjamin Moore,Beau Green,2054-20,#0A565A,"10, 86, 90",https://www.benjaminmoore.com/en-us/paint-colors/color/2054-20,8.76,Blue
Benjamin Moore,Icing on the Cake,2049-70,#DCF0ED,"220, 240, 237",https://www.benjaminmoore.com/en-us/paint-colors/color/2049-70,81.78,Blue
Benjamin Moore,Jamaican Aqua,2048-60,#B3E8E6,"179, 232, 230",https://www.benjaminmoore.com/en-us/paint-colors/color/2048-60,71.3,Blue
Benjamin Moore,Mexicali Turquoise,662,#78CECC,"120, 206, 204",https://www.benjaminmoore.com/en-us/paint-colors/color/662,53.61,Blue
Benjamin Moore,Poolside Blue,2048-40,#1FB9B4,"31, 185, 180",https://www.benjaminmoore.com/en-us/paint-colors/color/2048-40,39.87,Blue
Benjamin Moore,Poseidon,664,#00A6A1,"0, 166, 161",https://www.benjaminmoore.com/en-us/paint-colors/color/664,31.43,Blue
Benjamin Moore,Aruba Blue,2048-30,#008B84,"0, 139, 132",https://www.benjaminmoore.com/en-us/paint-colors/color/2048-30,21.08,Blue
Benjamin Moore,Dark Teal,2053-20,#255A5E,"37, 90, 94",https://www.benjaminmoore.com/en-us/paint-colors/color/2053-20,10.12,Blue
Benjamin Moore,Blue Diamond,736,#B6E2E1,"182, 226, 225",https://www.benjaminmoore.com/en-us/paint-colors/color/736,68.93,Blue
Benjamin Moore,Surf City,731,#87D1D2,"135, 209, 210",https://www.benjaminmoore.com/en-us/paint-colors/color/731,55.38,Blue
Benjamin Moore,Peacock Blue,2049-40,#61ACAE,"97, 172, 174",https://www.benjaminmoore.com/en-us/paint-colors/color/2049-40,36.65,Blue
Benjamin Moore,Blue Spa,2052-40,#499EA1,"73, 158, 161",https://www.benjaminmoore.com/en-us/paint-colors/color/2052-40,29.38,Blue
Benjamin Moore,Teal Ocean,2049-30,#29777B,"41, 119, 123",https://www.benjaminmoore.com/en-us/paint-colors/color/2049-30,17.22,Blue
Benjamin Moore,Largo Teal,742,#23777B,"35, 119, 123",https://www.benjaminmoore.com/en-us/paint-colors/color/742,16.7,Blue
Benjamin Moore,Tucson Teal,2056-10,#0B464E,"11, 70, 78",https://www.benjaminmoore.com/en-us/paint-colors/color/2056-10,6.58,Blue
Benjamin Moore,Jack Frost,729,#C1E7E5,"193, 231, 229",https://www.benjaminmoore.com/en-us/paint-colors/color/729,73.14,Blue
Benjamin Moore,San Clemente Teal,730,#AAE0DF,"170, 224, 223",https://www.benjaminmoore.com/en-us/paint-colors/color/730,66.73,Blue
Benjamin Moore,Clearlake,738,#88CDD1,"136, 205, 209",https://www.benjaminmoore.com/en-us/paint-colors/color/738,54.48,Blue
Benjamin Moore,Burbank Blue,732,#68C1C3,"104, 193, 195",https://www.benjaminmoore.com/en-us/paint-colors/color/732,45.99,Blue
Benjamin Moore,Palm Coast Teal,733,#3AA9A9,"58, 169, 169",https://www.benjaminmoore.com/en-us/paint-colors/color/733,33.31,Blue
Benjamin Moore,Tropical Teal,734,#00898A,"0, 137, 138",https://www.benjaminmoore.com/en-us/paint-colors/color/734,21.36,Blue
Benjamin Moore,Jade Garden,2056-20,#00636C,"0, 99, 108",https://www.benjaminmoore.com/en-us/paint-colors/color/2056-20,11.08,Blue
Benjamin Moore,Sonoma Skies,737,#A1D9DB,"161, 217, 219",https://www.benjaminmoore.com/en-us/paint-colors/color/737,61.97,Blue
